fence_style_id,section_id,section_label,section_order,variant_group_id,variant_group_label,variant_group_order,variant_id,variant_label,sku_prefix,field_name,field_type,label,tooltip,unit,min,max,step,default_value,options,enabled,required,position,slot_prefix,slot_count,lookup_rule
glass-pool-spigots,panels,Glass Panels,1,raked,Raked Panels,2,raked-panels,Raked Panels,RP,max-panel-width,number,Max Panel Width,Maximum panel width constraint,mm,500,2000,50,1200,,true,true,5,,,
glass-pool-spigots,panels,Glass Panels,1,raked,Raked Panels,2,raked-panels,Raked Panels,RP,min-panel-width,number,Min Panel Width,Minimum panel width constraint,mm,200,1000,50,250,,true,false,6,,,
glass-pool-spigots,panels,Glass Panels,1,raked,Raked Panels,2,raked-panels,Raked Panels,RP,glass-thickness,select,Glass Thickness,Select glass panel thickness,,,,,12mm,"12mm,15mm",true,true,7,RP,20,width_match
glass-pool-spigots,panels,Glass Panels,1,raked,Raked Panels,2,raked-panels,Raked Panels,RP,panel-height,number,Panel Height,Glass panel height,mm,1200,1500,50,1200,,true,true,8,,,
glass-pool-spigots,hardware,Spigot Hardware,2,spigots,Spigots,1,spigot-config,Spigot Configuration,SP,spigot-hardware,select,Spigot Finish,Select spigot finish,,,,,Satin,"Polished,Satin,Black",true,true,1,SP,3,exact_match
glass-pool-spigots,gates,Gate Hardware,3,soft,Soft Brand,1,soft-hinge-panels,Hinge Panels,SHP,gate-enabled,boolean,Enable Gate,Add a gate to this section,,,,,false,,true,false,1,,,
glass-pool-spigots,gates,Gate Hardware,3,soft,Soft Brand,1,soft-hinge-panels,Hinge Panels,SHP,gate-width,number,Gate Width,Width of gate panel,mm,600,1200,50,900,,true,false,2,SHP,12,width_match
glass-pool-spigots,gates,Gate Hardware,3,soft,Soft Brand,1,soft-hinge-panels,Hinge Panels,SHP,hinge-panel-width,number,Hinge Panel Width,Width of hinge panel,mm,900,1200,50,1200,,true,false,3,,,
glass-pool-spigots,gates,Gate Hardware,3,soft,Soft Brand,1,soft-hinge-panels,Hinge Panels,SHP,hinge-gap,number,Hinge Gap,Gap at hinge side,mm,6,15,1,8,,true,false,4,,,
glass-pool-spigots,gates,Gate Hardware,3,soft,Soft Brand,1,soft-hinge-panels,Hinge Panels,SHP,latch-gap,number,Latch Gap,Gap at latch side,mm,6,15,1,8,,true,false,5,,,
glass-pool-spigots,gates,Gate Hardware,3,soft,Soft Brand,1,soft-hinge-panels,Hinge Panels,SHP,gate-mount-mode,select,Mount Mode,How gate is mounted,,,,,GLASS_TO_GLASS,"GLASS_TO_GLASS,POST,WALL",true,false,6,,,
glass-pool-spigots,gates,Gate Hardware,3,soft,Soft Brand,1,soft-hinge-panels,Hinge Panels,SHP,gate-hinge-side,select,Hinge Side,Which side has the hinge,,,,,LEFT,"LEFT,RIGHT",true,false,7,,,
glass-pool-spigots,gates,Gate Hardware,3,gate-master,Gate Master Brand,2,gm-hinge-panels,Hinge Panels,GMHP,gate-enabled,boolean,Enable Gate,Add a gate to this section,,,,,false,,true,false,1,,,
glass-pool-spigots,gates,Gate Hardware,3,gate-master,Gate Master Brand,2,gm-hinge-panels,Hinge Panels,GMHP,gate-width,number,Gate Width,Width of gate panel,mm,600,1200,50,900,,true,false,2,GMHP,12,width_match
glass-pool-spigots,gates,Gate Hardware,3,gate-master,Gate Master Brand,2,gm-hinge-panels,Hinge Panels,GMHP,hinge-panel-width,number,Hinge Panel Width,Width of hinge panel,mm,900,1200,50,1200,,true,false,3,,,
glass-pool-spigots,gates,Gate Hardware,3,gate-master,Gate Master Brand,2,gm-hinge-panels,Hinge Panels,GMHP,hinge-gap,number,Hinge Gap,Gap at hinge side,mm,6,15,1,8,,true,false,4,,,
glass-pool-spigots,gates,Gate Hardware,3,gate-master,Gate Master Brand,2,gm-hinge-panels,Hinge Panels,GMHP,latch-gap,number,Latch Gap,Gap at latch side,mm,6,15,1,8,,true,false,5,,,
glass-pool-spigots,gates,Gate Hardware,3,gate-master,Gate Master Brand,2,gm-hinge-panels,Hinge Panels,GMHP,gate-mount-mode,select,Mount Mode,How gate is mounted,,,,,GLASS_TO_GLASS,"GLASS_TO_GLASS,POST,WALL",true,false,6,,,
glass-pool-spigots,gates,Gate Hardware,3,gate-master,Gate Master Brand,2,gm-hinge-panels,Hinge Panels,GMHP,gate-hinge-side,select,Hinge Side,Which side has the hinge,,,,,LEFT,"LEFT,RIGHT",true,false,7,,,
