fence_style_id,section_id,section_label,section_order,variant_group_id,variant_group_label,variant_group_order,variant_id,variant_label,field_name,field_type,label,tooltip,unit,min,max,step,default_value,options,enabled,required,position,slot_prefix,slot_id,product_sku,product_description,product_price,lookup_rule
glass-pool-spigots,gates,Gate Hardware,3,soft,Soft Brand,1,soft-hinge-panels,Soft Hinge Panels,hinge-panel-width,number,Hinge Panel Width,Width of hinge panel (glass-to-glass),mm,900,1200,50,1200,,TRUE,FALSE,3,SHP,SHP-12-1200,SHP-12-1200,Soft Hinge Panel 12mm 1200W,445.00,width_match
glass-pool-spigots,gates,Gate Hardware,3,soft,Soft Brand,1,soft-hinge-panels,Soft Hinge Panels,hinge-gap,number,Hinge Gap,Gap at hinge side,mm,6,15,1,8,,TRUE,FALSE,4,,,,,,,none
glass-pool-spigots,gates,Gate Hardware,3,soft,Soft Brand,1,soft-hinge-panels,Soft Hinge Panels,latch-gap,number,Latch Gap,Gap at latch side,mm,6,15,1,8,,TRUE,FALSE,5,,,,,,,none
glass-pool-spigots,gates,Gate Hardware,3,soft,Soft Brand,1,soft-hinge-panels,Soft Hinge Panels,gate-mount-mode,select,Mount Mode,How gate is mounted,,,,GLASS_TO_GLASS,GLASS_TO_GLASS,"GLASS_TO_GLASS,POST,WALL",TRUE,FALSE,6,,,,,,,none
glass-pool-spigots,gates,Gate Hardware,3,soft,Soft Brand,1,soft-hinge-panels,Soft Hinge Panels,gate-hinge-side,select,Hinge Side,Which side has the hinge,,,,LEFT,LEFT,"LEFT,RIGHT",TRUE,FALSE,7,,,,,,,none
glass-pool-spigots,gates,Gate Hardware,3,gate-master,Gate Master,2,gm-hinge-panels,GM Hinge Panels,gate-enabled,boolean,Enable Gate,Add a gate to this section,,,,,FALSE,,TRUE,FALSE,1,,,,,,,none
glass-pool-spigots,gates,Gate Hardware,3,gate-master,Gate Master,2,gm-hinge-panels,GM Hinge Panels,gate-width,number,Gate Width,Width of gate panel,mm,600,1200,50,900,,TRUE,FALSE,2,,,,,,,none
glass-pool-spigots,gates,Gate Hardware,3,gate-master,Gate Master,2,gm-hinge-panels,GM Hinge Panels,hinge-panel-width,number,Hinge Panel Width,Width of hinge panel,mm,900,1200,50,1200,,TRUE,FALSE,3,GMHP,GMHP-12-1200,GMHP-12-1200,Gate Master Hinge Panel 12mm 1200W,455.00,width_match
glass-pool-spigots,gates,Gate Hardware,3,gate-master,Gate Master,2,gm-hinge-panels,GM Hinge Panels,hinge-gap,number,Hinge Gap,Gap at hinge side,mm,6,15,1,8,,TRUE,FALSE,4,,,,,,,none
glass-pool-spigots,gates,Gate Hardware,3,gate-master,Gate Master,2,gm-hinge-panels,GM Hinge Panels,latch-gap,number,Latch Gap,Gap at latch side,mm,6,15,1,8,,TRUE,FALSE,5,,,,,,,none
glass-pool-spigots,gates,Gate Hardware,3,gate-master,Gate Master,2,gm-hinge-panels,GM Hinge Panels,gate-mount-mode,select,Mount Mode,How gate is mounted,,,,GLASS_TO_GLASS,GLASS_TO_GLASS,"GLASS_TO_GLASS,POST,WALL",TRUE,FALSE,6,,,,,,,none
glass-pool-spigots,gates,Gate Hardware,3,gate-master,Gate Master,2,gm-hinge-panels,GM Hinge Panels,gate-hinge-side,select,Hinge Side,Which side has the hinge,,,,LEFT,LEFT,"LEFT,RIGHT",TRUE,FALSE,7,,,,,,,none
